q,p,deg_p,class_count,U,E,largest_incomplete_degree,evidence_grade,source_record
3,T^5 + T^4 + T^3 + 2*T^2 + T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + T^3 + T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + T^3 + T^2 + 2*T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
4,T,1,1,1,1,,strict family audit,results/detailed/characteristics.csv
4,T + 1,1,1,1,1,,strict family audit,results/detailed/characteristics.csv
4,T + a,1,1,1,1,,strict family audit,results/detailed/characteristics.csv
4,T + a + 1,1,1,1,1,,strict family audit,results/detailed/characteristics.csv
4,T^2 + (a + 1)*T + 1,2,1,1,1,,strict family audit,results/detailed/characteristics.csv
4,T^2 + (a + 1)*T + a + 1,2,1,1,1,,strict family audit,results/detailed/characteristics.csv
4,T^2 + T + a,2,1,1,1,,strict family audit,results/detailed/characteristics.csv
4,T^2 + T + a + 1,2,1,1,1,,strict family audit,results/detailed/characteristics.csv
4,T^2 + a*T + 1,2,1,1,1,,strict family audit,results/detailed/characteristics.csv
4,T^2 + a*T + a,2,1,1,1,,strict family audit,results/detailed/characteristics.csv
4,T^3 + (a + 1)*T + 1,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
4,T^3 + (a + 1)*T^2 + (a + 1)*T + a + 1,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
4,T^3 + (a + 1)*T^2 + 1,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
4,T^3 + (a + 1)*T^2 + T + a,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
4,T^3 + (a + 1)*T^2 + a*T + a,3,5,6,4,3,strict family audit,results/detailed/characteristics.csv
4,T^3 + (a + 1)*T^2 + a*T + a + 1,3,5,6,4,3,strict family audit,results/detailed/characteristics.csv
4,T^3 + T + 1,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
4,T^3 + T^2 + (a + 1)*T + a,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
4,T^3 + T^2 + 1,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
4,T^3 + T^2 + T + a,3,5,6,4,3,strict family audit,results/detailed/characteristics.csv
4,T^3 + T^2 + T + a + 1,3,5,6,4,3,strict family audit,results/detailed/characteristics.csv
4,T^3 + T^2 + a*T + a + 1,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
4,T^3 + a,3,5,6,4,3,strict family audit,results/detailed/characteristics.csv
4,T^3 + a + 1,3,5,6,4,3,strict family audit,results/detailed/characteristics.csv
4,T^3 + a*T + 1,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
4,T^3 + a*T^2 + (a + 1)*T + a,3,5,6,4,3,strict family audit,results/detailed/characteristics.csv
4,T^3 + a*T^2 + (a + 1)*T + a + 1,3,5,6,4,3,strict family audit,results/detailed/characteristics.csv
4,T^3 + a*T^2 + 1,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
4,T^3 + a*T^2 + T + a + 1,3,5,6,6,5,strict family audit,results/detailed/characteristics.csv
