q,p,deg_p,class_count,U,E,levels_scanned,incomplete_levels,largest_incomplete_degree,vectors_visited,result_directory,result_file
11,T^3 + 2*T^2 + 5,3,12,5,4,4135,305,3,234812280,results/q11_degree3_compact,p_T3_2_T2_5.compact.json
11,T^3 + 2*T^2 + 6*T + 10,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_6_T_10.compact.json
11,T^3 + 2*T^2 + 6*T + 7,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_6_T_7.compact.json
11,T^3 + 2*T^2 + 6*T + 8,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_6_T_8.compact.json
11,T^3 + 2*T^2 + 6*T + 9,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_6_T_9.compact.json
11,T^3 + 2*T^2 + 7,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_7.compact.json
11,T^3 + 2*T^2 + 7*T + 2,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_7_T_2.compact.json
11,T^3 + 2*T^2 + 7*T + 4,3,12,5,4,4135,305,3,234812280,results/q11_degree3_compact,p_T3_2_T2_7_T_4.compact.json
11,T^3 + 2*T^2 + 7*T + 7,3,12,5,4,4135,305,3,234812280,results/q11_degree3_compact,p_T3_2_T2_7_T_7.compact.json
11,T^3 + 2*T^2 + 7*T + 9,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_7_T_9.compact.json
11,T^3 + 2*T^2 + 8*T + 10,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_8_T_10.compact.json
11,T^3 + 2*T^2 + 8*T + 2,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_8_T_2.compact.json
11,T^3 + 2*T^2 + 8*T + 3,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_8_T_3.compact.json
11,T^3 + 2*T^2 + 8*T + 6,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_8_T_6.compact.json
11,T^3 + 2*T^2 + 9*T + 1,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_9_T_1.compact.json
11,T^3 + 2*T^2 + 9*T + 4,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_9_T_4.compact.json
11,T^3 + 2*T^2 + 9*T + 6,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_9_T_6.compact.json
11,T^3 + 2*T^2 + 9*T + 9,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_9_T_9.compact.json
11,T^3 + 2*T^2 + T + 5,3,12,5,4,4135,305,3,234812280,results/q11_degree3_compact,p_T3_2_T2_T_5.compact.json
11,T^3 + 2*T^2 + T + 6,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_T_6.compact.json
11,T^3 + 2*T^2 + T + 8,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_2_T2_T_8.compact.json
11,T^3 + 2*T^2 + T + 9,3,12,5,4,4135,305,3,234812280,results/q11_degree3_compact,p_T3_2_T2_T_9.compact.json
11,T^3 + 3*T + 2,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_3_T_2.compact.json
11,T^3 + 3*T + 5,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_3_T_5.compact.json
11,T^3 + 3*T + 6,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_3_T_6.compact.json
11,T^3 + 3*T + 9,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_3_T_9.compact.json
11,T^3 + 3*T^2 + 10,3,12,5,4,4135,305,3,234812280,results/q11_degree3_compact,p_T3_3_T2_10.compact.json
11,T^3 + 3*T^2 + 10*T + 10,3,12,5,4,4135,305,3,234812280,results/q11_degree3_compact,p_T3_3_T2_10_T_10.compact.json
11,T^3 + 3*T^2 + 10*T + 6,3,12,5,4,4135,305,3,234812280,results/q11_degree3_compact,p_T3_3_T2_10_T_6.compact.json
11,T^3 + 3*T^2 + 10*T + 7,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_3_T2_10_T_7.compact.json
11,T^3 + 3*T^2 + 10*T + 9,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_3_T2_10_T_9.compact.json
11,T^3 + 3*T^2 + 2*T + 3,3,12,5,4,4135,305,3,234812280,results/q11_degree3_compact,p_T3_3_T2_2_T_3.compact.json
11,T^3 + 3*T^2 + 2*T + 4,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_3_T2_2_T_4.compact.json
11,T^3 + 3*T^2 + 2*T + 7,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_3_T2_2_T_7.compact.json
11,T^3 + 3*T^2 + 2*T + 8,3,12,5,4,4135,305,3,234812280,results/q11_degree3_compact,p_T3_3_T2_2_T_8.compact.json
11,T^3 + 3*T^2 + 3,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_3_T2_3.compact.json
11,T^3 + 3*T^2 + 4,3,12,5,4,4135,309,3,234812280,results/q11_degree3_compact,p_T3_3_T2_4.compact.json
